galaxy_name,n_data_points,f_disk,f_disk_error,rho_c_Msun_kpc3,rho_c_error,r_c_kpc,r_c_error,chi_squared,chi_squared_reduced,degrees_of_freedom,soliton_mass_5rc_Msun,virial_mass_estimate_Msun,virial_radius_estimate_kpc,used_phonon_term,error_floor_fraction
NGC2955,24,0.8155997222768032,0.019333702471450387,4616142.651147,4160296.1915487763,14.534056118260338,10.68569827963515,28.20120075076659,1.3429143214650756,21,645876002767.1718,491609768548.37994,162.83989515596505,True,0.05
NGC2976,27,0.6008495921511284,0.2050183294420604,102850159.04730643,56413187.28563409,1.7549612202765106,0.5919531835260904,4.783984337709388,0.19933268073789115,24,25334770217.994038,4164394249.6771955,33.194891908576494,True,0.05
NGC2998,13,1.0013706526766875,0.04276543862460406,1499980.7410519742,1237090.1508417188,28.89994585488495,25.896118481105145,15.290871489206397,1.5290871489206397,10,1650008569015.7087,431362442066.31396,155.89592235034596,True,0.05
NGC3109,25,0.8616935825012871,1.615806568526064,18132109.402905885,12632494.660974056,2.968024981440444,1.4717720395457095,2.711679025229568,0.1232581375104349,22,21605305728.190495,6900209199.740895,39.28029421390495,True,0.05
NGC3198,43,0.696978980896199,0.06958720048525746,55263421.66760316,22290370.129598033,2.612717855412984,0.5206683191691702,6.65509732889709,0.16637743322242723,40,44918447781.24682,232610999980.35254,126.89097338043611,True,0.05
NGC3521,41,0.7596198830165355,0.01585892210445429,16186236.641612614,9360997.543136286,8.587185750617289,4.514884517834512,2.9551938445837704,0.07776825906799396,38,467097869814.17365,180880672940.7648,116.68580708546348,True,0.05
NGC3726,12,0.7730356132989883,0.04131361707680011,2637715.7478817604,1597222.0631564534,19.744367792839054,12.66500446131733,5.711479011373046,0.6346087790414496,9,925267096904.3724,214938443998.95206,123.59247035345436,True,0.05
NGC3741,21,1.1974041507224047,0.13542194273289387,19618084.445687234,3464509.3749613576,1.8759183345718267,0.2639664452946584,5.827641074606845,0.32375783747815806,18,5902116983.135928,4272229697.1329956,33.47897689299393,True,0.05
NGC3769,12,0.4873344743783137,0.7989517412055118,143022955.02423355,869473973.9838524,1.3293844735848368,4.071781322937661,2.4024672537236302,0.26694080596929226,9,15313236247.909939,124644923776.53482,103.06523034409344,True,0.05
NGC3877,13,0.10000000000000002,0.6360628278823715,217329259.26506126,68463979.45704322,1.8462163762078774,0.26427264202396733,8.041242591300449,0.8041242591300449,10,62326885545.73616,84800096366.70651,90.64685928979482,True,0.05
NGC3893,10,0.6343584454415557,0.5771919245059575,164246148.26453415,1192285448.74188,1.7855744191884602,6.6026230575614795,1.5696804506822803,0.22424006438318292,7,42612644743.036865,142143504314.4453,107.67866241846394,True,0.05
NGC3917,17,0.5950077405791377,0.2323780735517818,48813837.755959004,20412022.96528889,2.912192942437237,0.47801291536473534,11.374246878771125,0.8124462056265089,14,54943056773.58356,69486450836.42693,84.82437909742387,True,0.05
NGC3949,7,0.7290474901457982,0.0658166869860873,14967529.636258524,23837295.473824386,49.99999999999996,3922.077881430952,0.6592661986770508,0.1648165496692627,4,85264759053448.05,46512391240.72229,74.20107580415302,True,0.05
